id,priority,platform,path,lines,issue_type,current,context,recommendation,status
I18N-001,P1,web,apps/web/src/app/[locale]/(main)/admin/activity-templates/_components/template-form-dialog.tsx,93-163,hardcoded visible text,"Edit/Create Activity Template, Name *, Tier (1-4), Aliases, example placeholders",Admin activity template create/edit dialog,Move title/description/labels/placeholders to admin.activityTemplates.* keys; keep examples localized per locale.,confirmed
I18N-002,P1,web,apps/web/src/app/[locale]/(main)/admin/data-review/_components/bulk-import-tab.tsx,194-244,hardcoded validation messages,"Missing required field, Invalid year, Invalid GPA format, Prompt too long, etc.",Admin bulk import validation table,"Use admin.dataReview.bulkImport.validation.* keys with interpolation for field, expected values, and lengths.",confirmed
I18N-003,P2,web,apps/web/src/app/error.tsx,20-23,English-only root error state,Something went wrong / An unexpected error occurred / Try again,Root error boundary outside next-intl provider,Mirror not-found strategy: infer locale from pathname/browser or render bilingual fallback.,confirmed
I18N-004,P2,web,apps/web/src/components/features/submit-case/EssaySection.tsx,"19-27,116-118",hardcoded select labels,"Supplemental, Why School, Short Answer, Activity, Optional, Other",Submit case essay type selector,Replace labels with submitCase.essayTypes.* or common essay type keys; preserve Common App/UC as proper names.,confirmed
I18N-005,P2,web,apps/web/src/components/features/education-form.tsx,"50-55,514-516",hardcoded select labels,"4.0 Scale (Unweighted), Percentage (100), IB (45 points), etc.",Profile education GPA system selector,Use profile.gpaSystem.options.* keys; translate descriptors while preserving GPA/IB/A-Level tokens.,confirmed
I18N-006,P2,web,apps/web/src/components/features/resume/template-picker.tsx; apps/web/src/components/features/resume/pdf/templates/definitions.ts,"template-picker 104-108,130-170; definitions 1-350",resume template UI not localized,"Template, All/Professional/Modern, Recommended, template descriptions/tags",Resume template chooser in resume builder,"Add resume.templatePicker.* and resume.templates.<id>.* keys; localize category labels, recommended badge, descriptions, searchable tags.",confirmed
I18N-007,P2,web,apps/web/src/components/features/resume/resume-editor/section-editors/*.tsx,multiple placeholders,resume editor placeholders not localized,"Harvard University, Bachelor of Arts, National / State / School, Add tech..., etc.",Resume section editors,Move placeholders and option labels to resume.editor.placeholders.*; leave numeric/date/URL examples as-is where language-neutral.,confirmed
I18N-008,P1,mobile,apps/mobile/src/screens/teams/TeamsScreen.tsx,"276-294,310-335",manual locale branching and hardcoded labels,"Match, Matches, My Team, Pass, Like, Create your card in My Team first, No cards in the deck",Mobile teams swipe/match tabs and empty states,Add/use mobile teams.matching.* keys. Remove i18n.language ternaries; use t() for all labels and empty states.,confirmed
I18N-009,P2,mobile,apps/mobile/src/screens/recommendation/types.ts; apps/mobile/src/screens/recommendation/GenerateTab.tsx,types 106-110; GenerateTab 331-358,existing translations bypassed,"< $30k/yr, $30k-50k/yr, $50k-70k/yr, No Limit",Mobile recommendation budget filter,Use existing recommendation.budgetOptions.* keys; normalize zh currency wording with profile budget tiers.,confirmed
I18N-010,P3,mobile,apps/mobile/src/app/profile/basic.tsx,"14-18,139-145",hardcoded option label,Gap Year,Mobile profile grade selector,Add/use profile.gradeOptions.gapYear or reuse existing applicationAnalysis.contextFlags.gapYear wording.,confirmed
I18N-011,P3,mobile,apps/mobile/src/app/profile/export.tsx,44-47,native share title hardcoded English,Profile Export,OS share sheet title for profile export,Add profile.export.shareTitle key and pass localized title to Share.share.,confirmed
I18N-012,P2,mobile,apps/mobile/src/lib/i18n/locales/en.json,1001,English quality typo,Watchout: {{reason}},Prediction uncertainty reason,"Change to ""Note: {{reason}}"" or ""Watch out: {{reason}}""; zh ""注意项"" is acceptable.",confirmed
I18N-013,P2,mobile,apps/mobile/src/lib/i18n/locales/zh.json,"1134,1178",internal jargon leaks into applicant-facing Chinese,Recourse 指引; 查看与 Web 和 uncommon-app 同步的 canonical 分析。,Mobile profile/application analysis cards,"Use user-facing Chinese: e.g. ""改进建议"" and ""查看与网页版一致的学校级申请分析"".",confirmed
I18N-014,P3,web,apps/web/src/messages/zh.json,649,English marketing copy in zh locale,"© 2026 StudyAI · Admissions, no longer a black box.",Landing footer copyright/tagline,"Localize tagline after brand: ""© 2026 StudyAI · 让录取判断不再是黑箱。""",confirmed
I18N-015,P3,web,apps/web/src/messages/zh.json,1842,context weaker than en translation,同校其他案例 vs Other Cases from {school},Case detail related cases heading,"Consider ""{school} 的其他案例"" for consistency and to use supplied school parameter.",confirmed
I18N-016,P3,web,apps/web/src/messages/zh.json,"3132,6888-6889,7027-7031",admin/ML jargon not consistently localized,"Recourse 指引, canonical application analysis, Canonical 标签, Recourse / Counterfactual 预览",Application analysis and admin workflow pages,Decide term policy. For applicant-facing surfaces translate; for admin surfaces either define bilingual glossary or localize to 标准分析/反事实改进建议.,confirmed
I18N-017,P2,web,apps/web/src/app/[locale]/(main)/resume/[id]/page.tsx,"261,321",hardcoded accessibility labels,"Go back; More options",Resume editor icon buttons,"Move to resume.editor.a11y.goBack and resume.editor.a11y.moreOptions so screen-reader labels follow locale.",confirmed
I18N-018,P3,web,apps/web/src/app/[locale]/(main)/admin/payments/page.tsx,"238-239,395-397",plan labels bypass translations,"Free, Pro, Premium",Admin payment plan filter and plan switch dialog,Reuse existing subscription/common plan-name translations or add admin.payments.plan.* keys; preserve brand names only if product policy says Pro/Premium stay English.,confirmed
