id,priority,consumer,surface,rowState,severity,fields,missingGates,unsafeSignals,recommendedAction,consumerPolicy
application_analysis_policy_evidence_gate,P0,application-analysis,application analysis policy card,review,warning,SchoolPolicyEvidence; School.testingPolicy; School.metadata.deadlines; international aid policy,,raw_policy_fallback; metadata_standard_deadline_fallback,separate-approved-evidence-from-review-only-fallbacks,Application analysis may use approved policy evidence directly; raw fallback facts must stay unknown/review or visibly weak-state.
prediction_school_anchor_trust_gate,P0,prediction,prediction school anchor transformer,review,warning,School.acceptanceRate; School.testingPolicy; School.provenance; TrustTier,,missing_provenance_allows_value; heuristic_inferred_exception,harden-prediction-provenance-fallback-policy,"Prediction can use weighted sourced anchors, but missing provenance, stale values, and inferred heuristics need explicit policy review."
timeline_essay_task_source_gate,P0,timeline,ApplicationTask essay prompt generation,review,warning,ApplicationTask.essayPrompt; EssayPromptSource.sourceUrl,,generic_school_essay_task,link-generated-essay-tasks-to-source-backed-prompts,School-specific essay tasks need source-backed prompt linkage or an explicit generic weak-state label.
ai_essay_tools_prompt_source_gate,P0,chat,AI essay prompt search and review context,trusted,info,EssayPrompt.prompt; EssayPromptSource.sourceUrl,,,accept,AI essay tools must not quote source-less verified prompts into chat or review context.
ai_school_tools_fact_source_gate,P0,chat,AI school details and school comparison tools,trusted,info,School.acceptanceRate; School.testingPolicy; School.metadata.deadlines; EssayPrompt.prompt,,,accept,"Chat tools should return sourced facts with weak-state labels, not raw school metadata or source-less prompts."
ai_timeline_deadline_source_gate,P0,chat,AI timeline deadline tool,trusted,info,School.metadata.deadlines; SchoolDeadline.source,,,accept,AI timeline tools must cite sourced current-year deadlines or return a review/unknown state.
essay_public_prompt_source_gate,P0,essay,public essay prompt endpoints,trusted,info,EssayPrompt.prompt; EssayPromptSource.sourceUrl,,,accept,Public essay prompt consumers may expose only verified prompts with sourceUrl evidence.
recommendation_essay_prompt_source_gate,P0,recommendation,recommendation essayPromptCount and hasWhySchool,trusted,info,EssayPrompt.status; EssayPromptSource.sourceUrl,,,accept,Recommendation essay counts must use the same source-backed gate as public essay and timeline consumers.
recommendation_school_meta_source_gate,P0,recommendation,recommendation schoolMeta and probability anchors,trusted,info,School.acceptanceRate; School.testingPolicy; School.satAvg; School.actAvg; School.retentionRate,,,accept,"Recommendations should not use raw school anchors unless provenance, freshness, conflict, and weak-state support are explicit."
school_list_essay_count_source_gate,P0,school-list,school-list essayPromptCount,trusted,info,EssayPrompt.status; EssayPromptSource.sourceUrl,,,accept,School-list essay counts must align with the source-backed essay prompt consumer gate.
timeline_deadline_generation_source_gate,P0,timeline,ApplicationTimeline generation from SchoolDeadline/metadata,trusted,info,SchoolDeadline.source; School.metadata.deadlines; ApplicationTimeline.deadline,,,accept,Timeline generation must distinguish sourced current-year deadlines from metadata/default heuristics before user-facing execution.
