id,status,summary,evidence,missing
disposition_packet_ready,pass,Every open first-party readiness row must have a user/operator/system disposition.,/tmp/profile-readiness-disposition-latest.json,
top_campaign_school_list_add_first,pass,The highest-priority user prompt campaign should be school_list.add_first.,group=school_list:prompt-user:school_list.add_first; severity=critical,
policy_copy_covers_user_prompt_gaps,pass,Every user-prompt gap needs approved in-app/dashboard copy before delivery packages are considered consumable.,copyGaps=18,
admin_delivery_ready_and_anonymized,pass,Admin delivery must be privacy-safe and have zero blocked copy rows.,blockedRows=0; includesUserIds=false,
school_list_add_first_delivery_rows_ready,pass,"school_list.add_first rows must route to /schools, stay in in-app/dashboard surfaces, and include suppression rules.",rows=167; ready=167; route=/schools=167,
dispatch_in_app_surface_ready,pass,Dispatch dry-run must have unblocked in-app/dashboard readiness batches before consumer closure can be claimed.,dispatchBatches=16; blockedBatches=0; inAppSurfaceReadyBatches=13,
live_delivery_policy_gate_review_only,warn,Live Redis/push/email blockers may remain review-only when in-app/admin delivery is the approved surface.,status=BLOCKED_FOR_LIVE_DELIVERY; channel_disabled_by_policy; recipient_user_ids_redacted,
profile_readiness_api_endpoint,pass,The user-facing readiness endpoint and shared route must exist.,ProfileController Get(me/readiness); profileRoutes.readiness,
profile_service_emits_school_list_add_first,pass,ProfileReadinessService must emit school_list.add_first and route it to /schools.,profile-readiness.service.ts,
frontend_profile_consumes_readiness_actions,pass,The profile first fold must render readiness nextActions as clickable UI.,profile-header.tsx,
frontend_schools_route_exists,pass,The /schools route must exist for school_list.add_first.,apps/web/src/app/[locale]/(main)/schools,
frontend_action_labels_localized,pass,The Add Schools readiness action must be localized in English and Chinese.,apps/web/src/messages/en.json; apps/web/src/messages/zh.json,
