rowKind,id,status,summary,missing,rank,group,disposition,requiredActor,highestSeverity,score,dispositionRows,deliveryRows,readyRows,uniqueRecipients,expectedDeliveryStatus,allowedChannels,liveChannelsDisabled,activeTopCampaign,monitoredTargetCampaign,monitorKind,monitoredPendingRows,stackState
check,disposition_stack_ready,pass,Campaign stack requires a ready disposition packet with every open row mapped.,,,,,,,,,,,,,,,,,,,
check,top_groups_present,pass,Disposition packet should expose ranked campaign groups to monitor.,,,,,,,,,,,,,,,,,,,
check,admin_delivery_anonymized,pass,Campaign stack monitor must use anonymized delivery rows by default.,,,,,,,,,,,,,,,,,,,
check,stack_group_delivery_alignment,pass,Every tracked campaign group should align one-for-one with admin delivery rows.,,,,,,,,,,,,,,,,,,,
check,stack_rows_ready,pass,Every tracked campaign group should have rows ready for its actor-specific queue.,,,,,,,,,,,,,,,,,,,
check,user_prompt_live_channels_disabled,pass,"User-prompt campaign groups must keep Redis, push, and email disabled.",,,,,,,,,,,,,,,,,,,
check,user_prompt_suppression_rules_present,pass,User-prompt campaign groups need suppression rules before display.,,,,,,,,,,,,,,,,,,,
check,active_top_campaign_monitor_aligned,pass,The active top campaign should be covered by the delivery monitor before parallel groups are considered.,,,,,,,,,,,,,,,,,,,
campaign_group,,ready,active_campaign_monitored,,1,school_list:prompt-user:school_list.add_first,user_prompt,user,critical,835,167,167,167,167,ready_for_in_app_admin_delivery,dashboard; in_app_readiness_surface,email; redis_notification_feed; remote_push,true,false,active_delivery_monitor,167,active_campaign_monitored
campaign_group,,ready,ready_parallel_in_app_dashboard_preflight,,2,profile:prompt-user:profile.gpa_anchor,user_prompt,user,critical,640,128,128,128,128,ready_for_in_app_admin_delivery,dashboard; in_app_readiness_surface,email; redis_notification_feed; remote_push,false,false,,,ready_parallel_in_app_dashboard_preflight
campaign_group,,ready,ready_parallel_in_app_dashboard_preflight,,3,profile:prompt-user:profile.major,user_prompt,user,critical,495,99,99,99,99,ready_for_in_app_admin_delivery,dashboard; in_app_readiness_surface,email; redis_notification_feed; remote_push,false,false,,,ready_parallel_in_app_dashboard_preflight
campaign_group,,ready,ready_parallel_in_app_dashboard_preflight,,4,profile:prompt-user:profile.test_strategy,user_prompt,user,critical,470,94,94,94,94,ready_for_in_app_admin_delivery,dashboard; in_app_readiness_surface,email; redis_notification_feed; remote_push,false,false,,,ready_parallel_in_app_dashboard_preflight
campaign_group,,ready,ready_parallel_in_app_dashboard_preflight,,5,profile:prompt-user:profile.missing,user_prompt,user,critical,20,4,4,4,4,ready_for_in_app_admin_delivery,dashboard; in_app_readiness_surface,email; redis_notification_feed; remote_push,false,false,,,ready_parallel_in_app_dashboard_preflight
campaign_group,,ready,ready_system_generation_queue,,6,prediction:run-prediction:prediction.missing,system_generation,system,warning,15,5,5,5,1,ready_for_system_generation,admin_queue,email; redis_notification_feed; remote_push,false,false,,,ready_system_generation_queue
campaign_group,,ready,ready_operator_review_queue,,7,deadline:review-deadline-source:deadline.round_missing,operator_review,operator,warning,6,2,2,2,2,ready_for_operator_review,admin_queue,email; redis_notification_feed; remote_push,false,false,,,ready_operator_review_queue
campaign_group,,ready,ready_system_generation_queue,,8,application_analysis:run-prediction:application_analysis.predictions_required,system_generation,system,warning,3,1,1,1,1,ready_for_system_generation,admin_queue,email; redis_notification_feed; remote_push,false,false,,,ready_system_generation_queue
