platform,key,zh,en,status,finding_id,notes
web,about.badge,关于我们,About Us,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.contact.desc,有任何问题或建议？我们随时欢迎您的来信,Have any questions or suggestions? We welcome your messages anytime,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.contact.title,联系我们,Contact Us,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.stats.accuracy,预测准确率,Prediction Accuracy,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.stats.cases,真实案例,Real Cases,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.stats.schools,覆盖院校,Schools Covered,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.stats.users,注册用户,Registered Users,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.story.content,留学申请平台诞生于一群留学归来的创业者对教育公平的追求。我们深知留学申请过程中信息不对称带来的困扰，因此致力于用技术手段为每一位申请者提供专业、透明、高效的服务。,"The Study Abroad Platform was born from the pursuit of educational equity by a group of entrepreneurs who studied abroad. We understand the challenges of information asymmetry in the application process, so we are committed to providing professional, transparent, and efficient services through technology.",已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.story.title,我们的故事,Our Story,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.subtitle,让每一个留学梦想都能实现,Making every study abroad dream come true,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.team.badge,核心团队,Our Team,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.team.members.chenjie.name,陈杰,Chen Jie,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.team.members.chenjie.role,AI 研发负责人,AI R&D Lead,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.team.members.lihua.name,李华,Li Hua,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.team.members.lihua.role,CTO,CTO,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.team.members.wangfang.name,王芳,Wang Fang,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.team.members.wangfang.role,产品总监,Product Director,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.team.members.zhangming.name,张明,Zhang Ming,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.team.members.zhangming.role,CEO & 创始人,CEO & Founder,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
web,about.team.title,核心团队,Core Team,已检查,,zh/en values present; no confirmed translation-quality issue recorded.
