essayPromptId,schoolId,schoolName,type,severity,route,promptSnippet,closureState,mismatchDisposition,recommendedAction
"cmorxevfb005peiz6vw812hr3","cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","SHORT_ANSWER","critical","/admin/essay-prompts/cmorxevfb005peiz6vw812hr3","Dream trip","review","review_prompt_owner_or_reject","review-prompt-owner-and-reject-reassign-or-terminalize"
"cmorxevff005xeiz619nzd64j","cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","SHORT_ANSWER","critical","/admin/essay-prompts/cmorxevff005xeiz619nzd64j","If you could teach a class on any topic, what would it be?","review","review_prompt_owner_or_reject","review-prompt-owner-and-reject-reassign-or-terminalize"
"cmorxevfe005veiz623wi969x","cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","SHORT_ANSWER","critical","/admin/essay-prompts/cmorxevfe005veiz623wi969x","Favorite Book","review","review_prompt_owner_or_reject","review-prompt-owner-and-reject-reassign-or-terminalize"
"cmorxevfd005teiz6yws5jskd","cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","SHORT_ANSWER","critical","/admin/essay-prompts/cmorxevfd005teiz6yws5jskd","Which well-known person or fictional character would be your ideal roommate?","review","review_prompt_owner_or_reject","review-prompt-owner-and-reject-reassign-or-terminalize"
"cmorxevfc005reiz6b9gfxlpz","cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","SHORT_ANSWER","critical","/admin/essay-prompts/cmorxevfc005reiz6b9gfxlpz","What TV show will you binge watch next?","review","review_prompt_owner_or_reject","review-prompt-owner-and-reject-reassign-or-terminalize"
"cmorxevfa005neiz6l4f1vqqr","cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","SHORT_ANSWER","critical","/admin/essay-prompts/cmorxevfa005neiz6l4f1vqqr","If your life had a theme song, what would it be?","review","review_prompt_owner_or_reject","review-prompt-owner-and-reject-reassign-or-terminalize"
"cmorxevf8005leiz6t6j36epi","cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","SHORT_ANSWER","critical","/admin/essay-prompts/cmorxevf8005leiz6t6j36epi","Best movie of all time","review","review_prompt_owner_or_reject","review-prompt-owner-and-reject-reassign-or-terminalize"
"cmorxevf7005jeiz68zmgcfos","cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","SHORT_ANSWER","critical","/admin/essay-prompts/cmorxevf7005jeiz68zmgcfos","What is your favorite snack?","review","review_prompt_owner_or_reject","review-prompt-owner-and-reject-reassign-or-terminalize"
"cmorxevf5005heiz6e1zgvjxo","cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","SHORT_ANSWER","critical","/admin/essay-prompts/cmorxevf5005heiz6e1zgvjxo","Describe yourself in three words.","review","review_prompt_owner_or_reject","review-prompt-owner-and-reject-reassign-or-terminalize"
"cmorx4ad7006b8vvhh5cym2yn","cmn1htkny000fvqf2jlmz8ej1","University of California, Los Angeles","SHORT_ANSWER","critical","/admin/essay-prompts/cmorx4ad7006b8vvhh5cym2yn","Describe yourself in three words","review","review_prompt_owner_or_reject","review-prompt-owner-and-reject-reassign-or-terminalize"
